Plant.Code,state,water_source,gsf_v11_id,prms_id,elev_ft,pond_acres,latitude,longitude,huc_12
2052,MS,gw_fresh,22489,22527,185.11,1000000,31.590172,-91.345058,080601000402
2053,MS,sw_fresh,7861,7922,362.4,374.1025218,32.324725,-90.162603,031800020604
2059,MS,gw_fresh,22149,22184,169.57,1000000,34.166566,-90.523745,080302070304
2062,MS,municipal,22300,22339,128.86,1000000,33.499634,-90.235266,080302060104
2063,MS,municipal,22300,22339,131.19,1000000,33.499634,-90.235266,080302060104
2067,MS,gw_fresh,22248,22285,107.11,1000000,32.881426,-90.412089,080302060706
2070,MS,gw_fresh,8510,8559,207.73,1000000,31.502219,-89.296555,031700040904
2076,MO,gw_fresh,35181,35199,944.84,26.51631176,37.33418,-94.577701,1.10702E+11
2079,MO,sw_fresh,24996,25014,741.67,1000000,39.144612,-94.54133,1.03001E+11
2080,MO,sw_fresh,24379,24391,753.33,1000000,38.326313,-93.993089,1.02901E+11
2094,MO,sw_fresh,24990,25009,724.97,1000000,39.173803,-94.075777,1.03001E+11
2098,MO,sw_fresh,24329,24335,811.49,1000000,39.760862,-94.839086,1.024E+11
2103,MO,sw_fresh,25591,25610,491.28,1000000,38.55189,-90.869391,1.03002E+11
2104,MO,sw_fresh,17663,17677,417.14,1000000,38.45709,-90.372087,071401021004
2107,MO,sw_fresh,16945,16949,445.06,1000000,38.895963,-90.21484,071100090402
2123,MO,gw_fresh,25212,25207,765.47,1000000,39.038588,-92.314293,1.03001E+11
2132,MO,gw_fresh,24984,25003,781.56,1000000,39.132294,-94.283229,1.03001E+11
2144,MO,municipal,26204,26227,783.21,1000000,39.058287,-93.253663,1.03001E+11
2161,MO,sw_fresh,35241,35261,1161.32,1000000,37.094893,-93.279584,1.101E+11
2167,MO,sw_fresh,21269,21276,297.07,1000000,36.437942,-89.614279,080202040608
2168,MO,sw_fresh,25029,25044,733,1000000,39.517597,-92.680344,1.02802E+11
2169,MO,sw_fresh,25202,25225,531.87,1000000,38.659674,-91.799989,1.03001E+11
2171,MO,sw_fresh,24987,25008,731.71,1000000,39.23891,-94.297103,1.03001E+11
